feature,significant,occurrences,auc,weight/importance,wt_low,wt_high,OR,OR_low,OR_high,OR_adj,OR_adj_low,OR_adj_high,Top1CorrFeat,Top1CorrVal,Top2CorrFeat,Top2CorrVal,Top3CorrFeat,Top3CorrVal,Top4CorrFeat,Top4CorrVal,Top5CorrFeat,Top5CorrVal,Top6CorrFeat,Top6CorrVal,Top7CorrFeat,Top7CorrVal,Top8CorrFeat,Top8CorrVal,Top9CorrFeat,Top9CorrVal,Top10CorrFeat,Top10CorrVal
Vital: Ht-avg7to10,False,1343,0.4825594512882992,-0.002632862465190131,-0.006838678867084054,0.001572953936703792,1.201083191636753,0.9510724000617564,1.5168149481981144,0.997370600477373,0.9931846516835634,1.001574191677632,Newborn Diagnosis:9ccs219:Low birth wt,-0.15253425768424028,Diagnosis:9ccs219:Low birth wt,-0.08114024465697191,Newborn Diagnosis:9ccs256:Exam/eval,-0.06043718785721596,Lab:292405 17-HYDROXYPROGESTERONE - Sunrise,0.05926739572434812,Lab:295490 17 HYDROXYPROGESTERONE - LMC,-0.05926739572434812,Diagnosis:9ccs223:Birth trauma,0.059183821025983976,Lab:323854 CULTURE FECES - Sunrise,0.05863682449608961,Diagnosis:9ccs200:Oth skin dx,0.05801348832050128,Diagnosis:10ccs238:Complic proc,-0.05679941334695013,Diagnosis:9ccs2604:E Codes: Fire/burn,-0.05679941334695013
Vital: Ht Percentile-gain10to16,False,760,0.5440864581923198,-0.0023527706518569687,-0.004776525354057847,7.098405034390923e-05,0.964894548884846,0.730621534109046,1.274286955698646,0.9976499949436507,0.9952348641019468,1.0000709865697712,Diagnosis:9ccs0:No DX,0.10276228591047795,Diagnosis:9ccs105:Conduction,0.0917902792303031,Diagnosis:9ccs230:Fx leg,-0.07522070120186494,Diagnosis:9ccs228:Fx skull fac,0.07449690043730171,Diagnosis:9ccs167:Breast dx,0.07377733109441591,Lab:294199 BILIRUBIN SCAN - LMC,-0.07121985713003802,Lab:292495 LEAD LEVEL - Sunrise,0.06919882406802162,Diagnosis:9ccs51:Ot endo dsor,-0.06523596444314247,Diagnosis:9ccs222:Perint jaund,-0.06143412547131568,Diagnosis:9ccs72:Anxiety dx,0.06076951488080408
Vital: BMI-avg13to16,True,1283,0.6517982040521636,0.002348805507155857,-0.0009412448569051553,0.005638855871216869,2.2655502392344498,1.7994444984365316,2.8523902187341115,1.0023515661117623,0.9990591979750865,1.0056547841439893,Diagnosis:9ccs143:Abdom hernia,0.0747626668739541,MatDeliveryAge,-0.07078007190189725,Diagnosis:9ccs128:Asthma,0.06904875771842299,Diagnosis:9ccs214:GI cong anom,-0.06706551216424933,Diagnosis:9ccs95:Oth nerv dx,-0.06699999039873272,Lab:323825 STREP SCREEN THROAT - Sunrise,-0.06190643214059236,Diagnosis:9ccs138:Esophgeal dx,-0.05978573581585934,Diagnosis:9ccs147:Anal/rectal,0.059688823113410096,Diagnosis:9ccs86:Cataract,-0.05817410909143522,Newborn Diagnosis:9ccs162:Ot dx bladdr,0.05774307818202103
Vital: BMI-avg3to5,True,1314,0.6351473308966201,0.002289805504547217,-2.3147409889772135e-05,0.004602758418984207,1.8080518238337464,1.4373082087786744,2.274426165315198,1.0022924291113058,0.9999768528580094,1.0046133673821023,Diagnosis:9ccs138:Esophgeal dx,-0.10693734823629332,Newborn Diagnosis:9ccs166:Oth male gen,0.07619320585752412,Diagnosis:9ccs74:Ot mentl cnd,-0.07078915585185691,Diagnosis:9ccs95:Oth nerv dx,-0.06558205869614077,Diagnosis:9ccs61:Sickle cell,-0.06049620872965028,Diagnosis:9ccs134:Ot uppr resp,-0.05994424200943012,Diagnosis:9ccs211:Ot conn tiss,-0.0592921540533049,Diagnosis:9ccs52:Nutrit defic,-0.057072887567487865,Newborn Diagnosis:9ccs191:Amnios dx,0.055813761567206605,Diagnosis:9ccs2611:E Codes: Natural/environment,0.055695506985225525
Vital: Ht Percentile-gain0to24,True,926,0.5903388836243852,0.0021850434455453187,-0.0020761744790401956,0.006446261370130833,1.5955732946298984,1.2463548003933296,2.042639975176152,1.0021874323926423,0.9979259792804088,1.0064670832299625,Diagnosis:9ccs229:Fx arm,0.08396887989884004,Diagnosis:9ccs136:Teeth dx,-0.07514975551147698,Diagnosis:9ccs59:Anemia,-0.07446975290586993,Diagnosis:9ccs147:Anal/rectal,0.061233712628989606,Diagnosis:9ccs212:Ot bone dx,-0.06087293215108976,Diagnosis:9ccs120:Hemmorhoids,0.06002345225067221,Diagnosis:9ccs2618:E Codes: Other specified and classifiable,0.06002345225067221,Diagnosis:9ccs243:Poisn nonmed,-0.05623978312246747,Diagnosis:9ccs105:Conduction,0.0557668138499813,Newborn Diagnosis:9ccs223:Birth trauma,0.0557049394935396
Vital: Wt for Length ZScore-avg5to7,True,1347,0.6173683498037092,0.002118460051828609,0.00028285153743906177,0.003954068566218156,1.7778617664594156,1.4144547308204314,2.234636706121254,1.0021207055737271,1.000282891543707,1.003961896208943,Diagnosis:9ccs138:Esophgeal dx,-0.10758293304417044,Diagnosis:9ccs95:Oth nerv dx,-0.1019767867496245,Diagnosis:9ccs128:Asthma,0.09405796725480792,Newborn Diagnosis:9ccs218:Liveborn,0.0849403466996721,Diagnosis:9ccs204:Ot joint dx,0.07180795071153137,Diagnosis:9ccs59:Anemia,0.06980085986946194,Diagnosis:9ccs143:Abdom hernia,0.06497709120316066,Newborn Diagnosis:9ccs0:No DX,-0.0648856155434019,Diagnosis:9ccs92:Otitis media,0.06345095133141251,Diagnosis:9ccs2611:E Codes: Natural/environment,0.06344628200301637
Diagnosis:9ccs96:Hrt valve dx,False,159,0.502842832002166,0.0021101150101680553,-0.0020049793247278913,0.006225209345064002,1.2558830754114467,0.8633343023148476,1.8269195314907252,1.0021123428695837,0.9979970293036746,1.0062446262312421,Diagnosis:9ccs96:Hrt valve dx,1.0,Diagnosis:9ccs213:Cardiac anom,0.47348440741700354,Newborn Diagnosis:9ccs96:Hrt valve dx,0.24986539323641155,Diagnosis:9ccs117:Ot circul dx,0.22789702985301966,Newborn Diagnosis:9ccs213:Cardiac anom,0.20786383372050293,Newborn Diagnosis:9ccs216:Nerv cong an,0.13108798346994135,Diagnosis:9ccs245:Syncope,0.13108798346994088,Diagnosis:9ccs244:Other injury,0.10095684500356332,Diagnosis:9ccs91:Other eye dx,0.0965235132873079,Diagnosis:9ccs83:Epilepsy/cnv,0.08926384612765029
Vital: Wt for Length ZScore-avg1to3,True,1377,0.5636027255087767,0.002070514681765721,8.332277617879684e-05,0.004057706587352645,1.3489159891598916,1.0744934796262215,1.6934252094709543,1.002072659677449,1.0000833262476176,1.0040659502250435,Number of Visits,-0.08131428707758791,Diagnosis:9ccs138:Esophgeal dx,-0.08115999298337556,Diagnosis:9ccs129:Asp pneumon,-0.07692448969832873,Diagnosis:9ccs154:Gastroent,-0.06462011161621257,Diagnosis:9ccs64:Ot hematl dx,0.06441368034762386,Diagnosis:9ccs2:Septicemia,-0.06428152038430708,Diagnosis:9ccs223:Birth trauma,-0.06373594179153225,Diagnosis:9ccs47:Ot bnign neo,0.06252890270269619,Diagnosis:9ccs2620:E Codes: Unspecified,-0.06045940452350321,Newborn Diagnosis:9ccs47:Ot bnign neo,0.05936173126570898
Vital: Wt-avg0to1,True,1356,0.5730337078651685,0.002011549021379623,0.00019334299083869017,0.0038297550519205558,1.4892044349348377,1.1842925190209774,1.87261999329602,1.0020135735433597,1.0001933616827994,1.0038370979346212,Newborn Diagnosis:9ccs219:Low birth wt,-0.35184877830984546,Diagnosis:9ccs219:Low birth wt,-0.28162594736635743,Lab:297262 HEMOGLOBIN (HEMOCUE),0.1314343830214749,Newborn Diagnosis:9ccs221:Resp distres,-0.12285029915399828,Newborn Diagnosis:9ccs222:Perint jaund,-0.11352075253857108,Newborn Diagnosis:9ccs253:Allergy,-0.10527788522785286,Newborn Diagnosis:9ccs256:Exam/eval,-0.09539186303718912,Newborn Diagnosis:9ccs10:Immuniz/scrn,0.09487771106127829,Diagnosis:9ccs198:Ot infl skin,0.07526639219830164,Diagnosis:9ccs216:Nerv cong an,-0.07307232638775618
Vital: Wt-gain3to7,True,1487,0.5199449483326564,0.0018799832721530629,0.00014939434046276905,0.0036105722038433565,1.2839019495412844,1.0210025084151597,1.6144957553479753,1.0018817515486413,1.000149405500353,1.0036170981714583,Diagnosis:9ccs126:Ot up rsp in,0.09719949142402655,Diagnosis:9ccs92:Otitis media,0.0905323966824364,Number of Visits,0.08963906326939311,Lab:294048 STOOL CULTURE - LMC,-0.07989846255148762,Diagnosis:9ccs127:COPD,0.0775305319524292,Diagnosis:9ccs212:Ot bone dx,0.0734310341905482,Diagnosis:9ccs181:Ot preg comp,-0.06967628406101872,Lab:321098 OCCULT BLOOD FECES - Sunrise,0.0657444018022269,Diagnosis:9ccs122:Pneumonia,0.0655008275750885,Diagnosis:9ccs113:Late eff CVD,0.06538690772131461
Diagnosis:9ccs59:Anemia,False,182,0.5183881593790893,0.0018172258114719274,-0.0017266832200169544,0.005361134842960809,1.0316373728029602,0.7142152749146351,1.4901328861819694,1.001818877966925,0.9982748066398255,1.005375531442235,Diagnosis:9ccs59:Anemia,1.0,Lab:297262 HEMOGLOBIN (HEMOCUE),-0.1350219076422416,Diagnosis:9ccs216:Nerv cong an,0.10780530476090242,Number of Visits,0.08843464042432253,Diagnosis:9ccs10:Immuniz/scrn,0.08478420760081455,Diagnosis:9ccs255:Social admin,0.07645326997596823,Diagnosis:9ccs245:Syncope,0.07638813772236805,Diagnosis:9ccs137:Mouth dx,0.07454200781761648,Diagnosis:9ccs4:Mycoses,0.07409002724490318,Newborn Diagnosis:9ccs138:Esophgeal dx,0.07018701190749199
Vital: Wt for Len Percentile-avg3to5,False,504,0.596024547628717,-0.0016820997586415559,-0.004962489289146071,0.0015982897718629593,1.2837796558395276,0.941435698299648,1.750613671994928,0.998319314178252,0.995049803518112,1.0015995677177123,Diagnosis:9ccs2620:E Codes: Unspecified,-0.0677542854300581,Lab:294147 FREE T4 - LMC,0.06608397333266627,Diagnosis:9ccs117:Ot circul dx,-0.06451337894476206,Diagnosis:9ccs211:Ot conn tiss,-0.06332914996735292,Newborn Diagnosis:9ccs106:Dysrhythmia,-0.06166284629518215,Diagnosis:9ccs208:Acq foot def,0.05905384870309795,Diagnosis:9ccs2604:E Codes: Fire/burn,-0.05864339313665075,Diagnosis:10ccs238:Complic proc,-0.05864339313665075,Diagnosis:9ccs2:Septicemia,0.05860374761374826,Diagnosis:9ccs48:Thyroid dsor,0.058560341052516264
Vital: Wt for Len Percentile-avg5to7,True,1198,0.618519019899824,0.0016668152568932043,-0.00118463973795098,0.004518270251737388,2.078451729691597,1.6343687979836432,2.643198767614521,1.0016682051655765,0.9988160616707038,1.0045284930253904,Diagnosis:9ccs138:Esophgeal dx,-0.09071213713711494,Diagnosis:9ccs95:Oth nerv dx,-0.0781987637517585,Newborn Diagnosis:9ccs191:Amnios dx,0.07596169083713057,Diagnosis:9ccs204:Ot joint dx,0.07095351433280402,Diagnosis:9ccs128:Asthma,0.0702200428344383,Diagnosis:9ccs59:Anemia,0.06208979616916143,Diagnosis:9ccs224:Ot perint dx,-0.06142435386697642,Diagnosis:9ccs92:Otitis media,0.0579709425545321,Newborn Diagnosis:9ccs47:Ot bnign neo,0.05430906502744558,Diagnosis:9ccs246:FUO,0.05209172693739962
Diagnosis:9ccs0:No DX,False,89,0.5057759126393214,-0.0016592081926392673,-0.00489495515479135,0.0015765387695128154,1.4077648891966759,0.8739438230085042,2.26765374510307,0.9983421675322974,0.9951170056144245,1.0015777821600906,Diagnosis:9ccs0:No DX,0.9999999999999999,Diagnosis:9ccs10:Immuniz/scrn,0.11005674168566297,Diagnosis:9ccs105:Conduction,0.10330027604269794,Diagnosis:9ccs212:Ot bone dx,0.08507026855744627,Diagnosis:9ccs44:Neoplsm unsp,0.06915256714228145,Diagnosis:9ccs209:Ot acq defor,0.0646506087837616,Diagnosis:9ccs135:Intest infct,0.053457464756940895,Diagnosis:9ccs250:Nausea/vomit,0.05298881812896319,Diagnosis:9ccs255:Social admin,0.05194590736574558,Diagnosis:9ccs58:Ot nutrit dx,0.05173915993273783
Vital: Wt Change-avg5to7,False,425,0.4933216010107847,0.00162472812075244,-0.0007242390537664195,0.0039736952952713,1.1100790513833991,0.7666129792904576,1.6074284333938698,1.0016260487065864,0.9992760231440353,1.003981600890428,Diagnosis:9ccs125:Bronchitis,-0.12067194779129568,Number of Visits,-0.1142979593624468,Diagnosis:9ccs92:Otitis media,-0.10558708279652357,Diagnosis:9ccs7:Viral infect,-0.08612616425116962,Lab:323825 STREP SCREEN THROAT - Sunrise,-0.08430762926787287,Diagnosis:9ccs257:Ot aftercare,-0.07761351946047508,Diagnosis:9ccs61:Sickle cell,0.07670134703348168,Diagnosis:9ccs166:Oth male gen,-0.07151241081514227,Diagnosis:9ccs126:Ot up rsp in,-0.06833283714082337,Diagnosis:9ccs9:Sexual Infxs,-0.06015898276115801
Vital: Ht Percentile-avg13to16,False,661,0.544740760795993,-0.001609093485806724,-0.004747107980681994,0.0015289210090685462,1.2845393404100154,0.9732620354235157,1.6953721166602174,0.998392200411023,0.9952641417281741,1.0015300904046898,Lab:295490 17 HYDROXYPROGESTERONE - LMC,-0.0883704360000486,Lab:292405 17-HYDROXYPROGESTERONE - Sunrise,0.0883704360000486,Newborn Diagnosis:9ccs223:Birth trauma,0.07449427696963315,Newborn Diagnosis:9ccs138:Esophgeal dx,-0.0657738042715833,Lab:323854 CULTURE FECES - Sunrise,0.06519906230675236,Diagnosis:9ccs120:Hemmorhoids,0.06412159817681203,Diagnosis:9ccs2618:E Codes: Other specified and classifiable,0.06412159817681203,Lab:323825 STREP SCREEN THROAT - Sunrise,-0.06378789345021454,Newborn Diagnosis:9ccs253:Allergy,-0.0637269098849274,Newborn Diagnosis:9ccs97:Carditis,-0.06303759318975194
Vital: BMI-avg1to3,True,1370,0.6044176706827309,0.0015734973876951675,-0.0009002138316093718,0.004047208606999707,1.6933932808792307,1.3469468911766012,2.1289486783120317,1.0015747359842673,0.9991001912393027,1.0040554096157526,Newborn Diagnosis:9ccs219:Low birth wt,-0.15541404726725705,Diagnosis:9ccs219:Low birth wt,-0.13280863915244354,Diagnosis:9ccs64:Ot hematl dx,0.09762017923137987,Diagnosis:9ccs138:Esophgeal dx,-0.09094379607789702,Newborn Diagnosis:9ccs222:Perint jaund,-0.07334109373738334,Newborn Diagnosis:9ccs166:Oth male gen,0.0619600219364571,Diagnosis:9ccs159:UTI,0.06150919238698266,Lab:297262 HEMOGLOBIN (HEMOCUE),0.059706178001490876,Number of Visits,-0.059629207679870844,Diagnosis:9ccs141:Ot dx stomch,-0.05906592025418693
Vital: BMI-gain1to5,False,1461,0.5024141509859663,-0.001566482765780749,-0.0038967344802861284,0.0007637689487246305,0.9878648233486943,0.7865101143610747,1.2407684165670336,0.9984347435279407,0.9961108479374319,1.000764060694499,Number of Visits,0.1528141956443596,Diagnosis:9ccs126:Ot up rsp in,0.12109946114768054,Diagnosis:9ccs257:Ot aftercare,0.07628905049159124,Lab:297275 STREP RAPID TEST (POCT),-0.06929451407756693,Diagnosis:9ccs86:Cataract,-0.05942711861868047,Newborn Diagnosis:9ccs62:Coag/hemr dx,-0.0571826485121564,Newborn Diagnosis:9ccs219:Low birth wt,0.056919878697646094,Diagnosis:9ccs104:Oth heart dx,-0.05634097222220983,Diagnosis:9ccs212:Ot bone dx,-0.05510570967636855,Diagnosis:9ccs96:Hrt valve dx,0.055094049170761675
Vital: Wt Percentile-gain13to19,False,812,0.5454176255584134,0.0014176024375150253,-0.000646559152960461,0.003481764027990512,1.2830188679245282,0.9480285640750405,1.7363795541924611,1.0014186077108203,0.9993536498213682,1.0034878324092102,Diagnosis:9ccs61:Sickle cell,-0.08613638262449641,Diagnosis:9ccs230:Fx leg,0.07668625562729488,Diagnosis:9ccs239:Superfic inj,0.06253077458933488,Newborn Diagnosis:9ccs161:Ot dx kidney,-0.062218182137552064,Diagnosis:9ccs59:Anemia,-0.06172665639751038,Diagnosis:9ccs211:Ot conn tiss,-0.05877999191977608,Newborn Diagnosis:9ccs223:Birth trauma,-0.05714416116131826,Diagnosis:9ccs98:HTN,0.051144208862595145,Newborn Diagnosis:9ccs55:Fluid/elc dx,-0.050815462068510155,Diagnosis:9ccs208:Acq foot def,-0.050554853829532134
Diagnosis:9ccs125:Bronchitis,False,481,0.5307522223726366,-0.001408218527236405,-0.004154491624106389,0.0013380545696335784,0.9828594684636935,0.7626315491571594,1.2666834145746348,0.9985927725472028,0.9958541263376737,1.0013389501640562,Diagnosis:9ccs125:Bronchitis,1.0,Number of Visits,0.293020952252579,Diagnosis:9ccs257:Ot aftercare,0.28797923572493317,Diagnosis:9ccs126:Ot up rsp in,0.2500350825669453,Diagnosis:9ccs128:Asthma,0.2463542578580921,Diagnosis:9ccs92:Otitis media,0.22971516217352173,Diagnosis:9ccs7:Viral infect,0.21855161175232077,Diagnosis:9ccs122:Pneumonia,0.18711947304602253,Diagnosis:9ccs90:Eye infectn,0.17454925645237265,Diagnosis:9ccs135:Intest infct,0.16714704421579152
Vital: Wt Percentile-avg16to19,True,746,0.6052073462388882,-0.001399491441493528,-0.004128745190637146,0.0013297623076500898,2.004302925989673,1.568464733373321,2.561249949490956,0.9986014873899786,0.9958797663597506,1.0013306468335739,Lab:323825 STREP SCREEN THROAT - Sunrise,-0.08416912157094332,Diagnosis:9ccs136:Teeth dx,-0.07567810386397922,Newborn Diagnosis:9ccs138:Esophgeal dx,-0.07357813874537178,Diagnosis:9ccs9:Sexual Infxs,-0.07068776638809897,Diagnosis:9ccs214:GI cong anom,-0.07016245111047187,Diagnosis:9ccs143:Abdom hernia,0.06734608214829382,Newborn Diagnosis:9ccs253:Allergy,-0.06417586422473517,Diagnosis:9ccs56:Cystic fibro,-0.06339308904850001,Diagnosis:9ccs129:Asp pneumon,-0.061539643420717514,Lab:306605 BILIRUBIN DIRECT - Sunrise,-0.06062685782717878
Vital: Wt Percentile-avg10to13,True,638,0.5859392626686521,0.0012542331684249311,-0.0011917414733141397,0.003700207810164002,1.80176686059039,1.3919548799732366,2.332233513189859,1.0012550200477877,0.9988089683685448,1.0037070620304889,Lab:323825 STREP SCREEN THROAT - Sunrise,-0.09332620266293304,Newborn Diagnosis:9ccs138:Esophgeal dx,-0.0868871574967373,Newborn Diagnosis:9ccs191:Amnios dx,0.08291207839560663,Diagnosis:9ccs136:Teeth dx,-0.08227756690706046,Diagnosis:9ccs129:Asp pneumon,-0.07828940842506978,Diagnosis:9ccs155:Other GI dx,-0.07517890795372564,Newborn Diagnosis:9ccs239:Superfic inj,-0.07196454403197663,Newborn Diagnosis:9ccs97:Carditis,-0.07196454403197663,Newborn Diagnosis:9ccs104:Oth heart dx,-0.07196454403197663,Diagnosis:9ccs214:GI cong anom,-0.07141459709058517
Vital: HC-avg13to16,False,973,0.5537430621361851,0.001243493981784296,-0.0011815373626021047,0.003668525326170697,1.1291998111220078,0.889665512836316,1.4332265273191211,1.0012442674409898,0.9988191603778384,1.0036752626013072,Lab:297262 HEMOGLOBIN (HEMOCUE),0.08181891210784197,Diagnosis:9ccs143:Abdom hernia,0.07295105809608719,Newborn Diagnosis:9ccs224:Ot perint dx,0.06837618842301821,Diagnosis:9ccs229:Fx arm,0.06704422238290256,Diagnosis:9ccs62:Coag/hemr dx,0.06628738309278477,Diagnosis:9ccs76:Meningitis,-0.06311024953051371,Newborn Diagnosis:9ccs62:Coag/hemr dx,0.058891204906792664,Diagnosis:9ccs70:Schizo/rl dx,0.05871013637320936,Lab:294048 STOOL CULTURE - LMC,-0.05863729301307258,Diagnosis:9ccs209:Ot acq defor,0.05526557712493285
Vital: Wt for Len Percentile-avg7to10,True,1339,0.6701186769550111,0.0012306340837882,-0.00046014963837814676,0.002921417805954547,2.265658451580782,1.7990909812925617,2.8532232514063627,1.0012313916246323,0.9995399562142301,1.0029256893055518,Diagnosis:9ccs128:Asthma,0.08398551415340244,Diagnosis:9ccs95:Oth nerv dx,-0.08278078136691738,Diagnosis:9ccs125:Bronchitis,0.07693902021753005,MatDeliveryAge,-0.07306620960558988,Newborn Diagnosis:9ccs191:Amnios dx,0.06846243867470876,Diagnosis:9ccs143:Abdom hernia,0.06588673021443268,Diagnosis:9ccs8:Oth infectns,-0.05701485093685692,Diagnosis:9ccs138:Esophgeal dx,-0.05477003482119417,Diagnosis:9ccs122:Pneumonia,0.0531885373592261,Diagnosis:9ccs137:Mouth dx,-0.052432712767319506
Vital: Wt Percentile-gain0to3,False,363,0.5149135869319976,0.0012045443825603722,-0.0011445284124860743,0.0035536171776068184,1.188553957865571,0.8154096928287681,1.7324548913040274,1.0012052701375171,0.9988561263103506,1.0035599387610739,Diagnosis:9ccs181:Ot preg comp,0.13543576895208037,Diagnosis:9ccs129:Asp pneumon,-0.1301189055696857,Lab:306605 BILIRUBIN DIRECT - Sunrise,0.1245529199927841,Newborn Diagnosis:9ccs166:Oth male gen,0.12376977267274154,Newborn Diagnosis:9ccs204:Ot joint dx,0.10744652768267059,Lab:292147 TSH - Sunrise,0.10410603551062617,Diagnosis:9ccs162:Ot dx bladdr,0.10186514907059464,Diagnosis:9ccs47:Ot bnign neo,0.07247319622981183,Newborn Diagnosis:9ccs133:Oth low resp,0.06947437557075349,Diagnosis:9ccs151:Oth liver dx,0.06717395405986115
Vital: Wt-gain1to5,False,1472,0.5216371102387076,-0.0010593115044160236,-0.0022572663443571313,0.0001386433355250842,0.9925865800865801,0.7898876983578422,1.247301510095978,0.998941249367952,0.9977452793655089,1.0001386529469565,Number of Visits,0.1817484326022327,Diagnosis:9ccs126:Ot up rsp in,0.1291618096338939,Diagnosis:9ccs257:Ot aftercare,0.08995925947251639,Lab:297275 STREP RAPID TEST (POCT),-0.08533788711283291,Newborn Diagnosis:9ccs62:Coag/hemr dx,-0.06610092311804473,Diagnosis:9ccs212:Ot bone dx,-0.06258329945433641,Diagnosis:9ccs92:Otitis media,0.06122275381407809,Lab:321098 OCCULT BLOOD FECES - Sunrise,-0.06099355948461775,Diagnosis:9ccs86:Cataract,-0.0601347561053426,Diagnosis:9ccs104:Oth heart dx,-0.058857824676364946
Vital: BMI-gain7to13,False,1496,0.4795812463336492,-0.0010472086099631503,-0.0024869429946550144,0.00039252577472871403,1.138274151871301,0.8828005027073001,1.4676793237485495,0.9989533395216205,0.9975161468860911,1.0003926028230514,Lab:294205 TSH REFLEX TO FT4 - LMC,0.06707831512361284,Lab:292495 LEAD LEVEL - Sunrise,-0.06657496689853266,Diagnosis:9ccs238:Complic proc,0.06502024315273558,Newborn Diagnosis:9ccs62:Coag/hemr dx,0.06473945285979589,Diagnosis:10ccs238:Complic proc,0.0645111785059444,Diagnosis:9ccs2604:E Codes: Fire/burn,0.0645111785059444,Diagnosis:9ccs72:Anxiety dx,-0.06001443300261641,Diagnosis:9ccs58:Ot nutrit dx,-0.05873950211980546,Newborn Diagnosis:9ccs224:Ot perint dx,0.05614233661761636,Newborn Diagnosis:9ccs239:Superfic inj,0.05422796237529912
Vital: BMI Percentile-avg19to24,True,275,0.5967690988673796,0.0010376625910095603,-0.0006364123625470022,0.0027117375445661228,2.8816267247639797,2.032057956826927,4.0863857022269094,1.0010382011491004,0.9993637901048474,1.0027154176305453,Diagnosis:9ccs214:GI cong anom,-0.1062267052601281,Newborn Diagnosis:9ccs253:Allergy,-0.0857930518676549,Diagnosis:9ccs72:Anxiety dx,-0.08124905150226298,Diagnosis:9ccs48:Thyroid dsor,-0.07729582236441554,Diagnosis:9ccs230:Fx leg,-0.07633804245900452,Diagnosis:9ccs58:Ot nutrit dx,0.07399033693443403,Newborn Diagnosis:9ccs216:Nerv cong an,-0.0737082849769504,Diagnosis:9ccs245:Syncope,-0.07311546808704522,Newborn Diagnosis:9ccs252:Fatigue,0.06990207009917503,Newborn Diagnosis:9ccs47:Ot bnign neo,0.06949767325119327
Vital: Wt Percentile-avg7to10,True,536,0.5443346419385406,0.000999121515457707,-0.000820660163026193,0.002818903193941607,1.5043372819699654,1.1340786644433951,1.995479439722532,1.0009996208036285,0.9991796764864275,1.002822880037451,Lab:323825 STREP SCREEN THROAT - Sunrise,-0.09717511943503505,Diagnosis:9ccs138:Esophgeal dx,-0.09595694660108918,Newborn Diagnosis:9ccs138:Esophgeal dx,-0.09549028924767972,Newborn Diagnosis:9ccs191:Amnios dx,0.09160827504558293,Diagnosis:9ccs129:Asp pneumon,-0.08218869234373759,Diagnosis:9ccs155:Other GI dx,-0.08211024927495891,Lab:323854 CULTURE FECES - Sunrise,0.07895776803197951,Newborn Diagnosis:9ccs47:Ot bnign neo,0.0757430965931397,Diagnosis:9ccs223:Birth trauma,0.07511150335402846,Diagnosis:9ccs219:Low birth wt,-0.07435048164464292
Diagnosis:9ccs134:Ot uppr resp,False,167,0.48371012138441405,-0.000996534140602564,-0.002939950483675453,0.000946882202470325,0.7553514311490199,0.5001240198867105,1.140828598210733,0.9990039622346455,0.9970643669387087,1.00094733063695,Diagnosis:9ccs134:Ot uppr resp,1.0,Number of Visits,0.1956206173635162,Diagnosis:9ccs124:Tonsillitis,0.1266928707866629,Diagnosis:9ccs253:Allergy,0.12549170457011255,Diagnosis:9ccs126:Ot up rsp in,0.12413856246615887,Diagnosis:9ccs90:Eye infectn,0.11516215413558427,Diagnosis:9ccs211:Ot conn tiss,0.11147658373767207,Diagnosis:9ccs133:Oth low resp,0.09953511472731794,Diagnosis:9ccs127:COPD,0.09885197553674671,Diagnosis:9ccs91:Other eye dx,0.09638134038017916
Vital: Ht Percentile-gain1to5,False,452,0.46622444835521865,0.0009459038467636811,-0.0008987745439480648,0.002790582237475427,0.7624521072796935,0.5260009046280529,1.1051943271966786,1.0009463513548962,0.9991016292329151,1.0027944795364887,Newborn Diagnosis:9ccs220:Birth asphyx,0.12094966030053217,Diagnosis:9ccs167:Breast dx,-0.06212925823536622,Lab:306605 BILIRUBIN DIRECT - Sunrise,0.060011060199027765,Lab:292147 TSH - Sunrise,0.05687187511132322,Diagnosis:9ccs228:Fx skull fac,-0.05686825784706969,Diagnosis:9ccs258:Other screen,-0.05093894366897865,Diagnosis:9ccs143:Abdom hernia,0.04983460020554795,Diagnosis:9ccs48:Thyroid dsor,0.04646790014708558,Diagnosis:9ccs231:Oth fracture,-0.046446017872095346,Diagnosis:9ccs253:Allergy,-0.0452776598665812
Vital: HR-avg5to7,True,318,0.5464103605432967,0.000938837006230917,-0.0008920598060825623,0.0027697338185443962,2.0128314798973483,1.4082051346114615,2.877059930323005,1.0009392778516428,0.9991083379609801,1.0027735730750118,Diagnosis:9ccs221:Resp distres,0.16396294905524345,Diagnosis:9ccs228:Fx skull fac,0.12524262585898244,Diagnosis:9ccs44:Neoplsm unsp,-0.08430265261490037,Diagnosis:9ccs231:Oth fracture,0.08366334616877415,Diagnosis:9ccs117:Ot circul dx,-0.0773184926731017,Diagnosis:9ccs213:Cardiac anom,-0.07475057896699065,Diagnosis:9ccs125:Bronchitis,0.07056574153797998,Diagnosis:9ccs115:Aneurysm,-0.06766491359376739,Diagnosis:9ccs48:Thyroid dsor,0.06563024722150998,Newborn Diagnosis:9ccs97:Carditis,-0.0644447277940775
