icd |10hcchccesrd
E0822 E0922 E1022 E1122 E1322 I129 I130 I1310 N181 N182 N189 Q6111 Q6119 |10hcc139
E08311 E08319 E08321 E08329 E08331 E08339 E08341 E08349 E09311 E09319 E09321 E09329 E09331 E09339 E09341 E09349 E10311 E10319 E10321 E10329 E10331 E10339 E10341 E10349 E11311 E11319 E11321 E11329 E11331 E11339 E11341 E11349 E13311 E13319 E13321 E13329 E13331 E13339 E13341 E13349 |10hccrx241
E08351 E08359 E09351 E09359 E10351 E10359 E11351 E11359 E13351 E13359 H4310 H4311 H4312 H4313 |10hcc122:Proliferative Diabetic Retinopathy and Vitreous Hemorrhage
E0851 E0852 E0951 E0952 E1051 E1052 E1151 E1152 E1351 E1352 I700 I701 I70201 I70202 I70203 I70208 I70209 I70211 I70212 I70213 I70218 I70219 I70221 I70222 I70223 I70228 I70229 I70291 I70292 I70293 I70298 I70299 I70301 I70302 I70303 I70308 I70309 I70311 I70312 I70313 I70318 I70319 I70321 I70322 I70323 I70328 I70329 I70391 I70392 I70393 I70398 I70399 I70401 I70402 I70403 I70408 I70409 I70411 I70412 I70413 I70418 I70419 I70421 I70422 I70423 I70428 I70429 I70491 I70492 I70493 I70498 I70499 I70501 I70502 I70503 I70508 I70509 I70511 I70512 I70513 I70518 I70519 I70521 I70522 I70523 I70528 I70529 I70591 I70592 I70593 I70598 I70599 I70601 I70602 I70603 I70608 I70609 I70611 I70612 I70613 I70618 I70619 I70621 I70622 I70623 I70628 I70629 I70691 I70692 I70693 I70698 I70699 I70701 I70702 I70703 I70708 I70709 I70711 I70712 I70713 I70718 I70719 I70721 I70722 I70723 I70728 I70729 I70791 I70792 I70793 I70798 I70799 I7092 I712 I714 I716 I719 I720 I721 I722 I723 I724 I728 I729 I731 I7381 I7389 I739 I770 I771 I772 I773 I774 I775 I776 I77810 I77811 I77812 I77819 I7789 I779 I780 I790 I791 I798 I8010 I8011 I8012 I8013 I80201 I80202 I80203 I80209 I80211 I80212 I80213 I80219 I80221 I80222 I80223 I80229 I80231 I80232 I80233 I80239 I80291 I80292 I80293 I80299 I820 I82210 I82211 I82220 I82221 I82290 I82291 I823 I82401 I82402 I82403 I82409 I82411 I82412 I82413 I82419 I82421 I82422 I82423 I82429 I82431 I82432 I82433 I82439 I82441 I82442 I82443 I82449 I82491 I82492 I82493 I82499 I824Y1 I824Y2 I824Y3 I824Y9 I824Z1 I824Z2 I824Z3 I824Z9 I82501 I82502 I82503 I82509 I82511 I82512 I82513 I82519 I82521 I82522 I82523 I82529 I82531 I82532 I82533 I82539 I82541 I82542 I82543 I82549 I82591 I82592 I82593 I82599 I825Y1 I825Y2 I825Y3 I825Y9 I825Z1 I825Z2 I825Z3 I825Z9 I82621 I82622 I82623 I82629 I82721 I82722 I82723 I82729 I82A11 I82A12 I82A13 I82A19 I82A21 I82A22 I82A23 I82A29 I82B11 I82B12 I82B13 I82B19 I82B21 I82B22 I82B23 I82B29 I82C11 I82C12 I82C13 I82C19 I82C21 I82C22 I82C23 I82C29 K551 K558 K559 M318 M319 |10hcc108:Vascular Disease
E089 E099 E109 E119 E139 Z794 |10hcc19:Diabetes without Complication
E163 E164 E168 E169 K862 K863 K868 K869 K87 K900 K901 K902 K903 K904 K9081 K9089 K909 K912 |10hccrx66
E40 E41 E42 E43 E440 E441 E45 E46 E640 R64 |10hcc21:Protein-Calorie Malnutrition
E550 M8000XA M80011A M80012A M80019A M80021A M80022A M80029A M80031A M80032A M80039A M80041A M80042A M80049A M80061A M80062A M80069A M80071A M80072A M80079A M8080XA M80811A M80812A M80819A M80821A M80822A M80829A M80831A M80832A M80839A M80841A M80842A M80849A M80861A M80862A M80869A M80871A M80872A M80879A M810 M816 M818 M830 M831 M832 M833 M834 M835 M838 M839 M8440XA M84411A M84412A M84419A M84421A M84422A M84429A M84431A M84432A M84433A M84434A M84439A M84441A M84442A M84443A M84444A M84445A M84446A M84454A M84461A M84462A M84463A M84464A M84469A M84471A M84472A M84473A M84474A M84475A M84476A M84477A M84478A M84479A M8448XA M8450XA M84511A M84512A M84519A M84521A M84522A M84529A M84531A M84532A M84533A M84534A M84539A M84541A M84542A M84549A M84550A M84561A M84562A M84563A M84564A M84569A M84571A M84572A M84573A M84574A M84575A M84576A M8458XA M8460XA M84611A M84612A M84619A M84621A M84622A M84629A M84631A M84632A M84633A M84634A M84639A M84641A M84642A M84649A M84650A M84661A M84662A M84663A M84664A M84669A M84671A M84672A M84673A M84674A M84675A M84676A M8468XA N250 |10hccrx87
E6601 E662 Z6841 Z6842 Z6843 Z6844 Z6845 |10hcc22:Morbid Obesity
E7130 E755 E756 E780 E781 E782 E783 E784 E785 E786 E7870 E7879 E7881 E7889 E789 E882 |10hccrx45
E8300 E8301 E8309 E8310 E83118 E83119 E8319 E8330 E8331 E8332 E8339 |10hccrx41
E840 E8411 E8419 E848 E849 |10hcc110
F0151 F0281 F0391 G910 G911 G912 G913 G914 G918 G919 |10hcc51
F10120 F10121 F10129 F1014 F10180 F10181 F10182 F10188 F1019 F1020 F1021 F10220 F10221 F10229 F10230 F10239 F1024 F10280 F10281 F10282 F10288 F1029 F10920 F10921 F10929 F1094 F10980 F10981 F10982 F10988 F1099 F11120 F11121 F11122 F11129 F1114 F11181 F11182 F11188 F1119 F1120 F1121 F11220 F11221 F11222 F11229 F1123 F1124 F11281 F11282 F11288 F1129 F11920 F11921 F11922 F11929 F1193 F1194 F11981 F11982 F11988 F1199 F12120 F12121 F12122 F12129 F12180 F12188 F1219 F1220 F1221 F12220 F12221 F12222 F12229 F12280 F12288 F1229 F12920 F12921 F12922 F12929 F12980 F12988 F1299 F13120 F13121 F13129 F1314 F13180 F13181 F13182 F13188 F1319 F1320 F1321 F13220 F13221 F13229 F13230 F13239 F1324 F13280 F13281 F13282 F13288 F1329 F13920 F13921 F13929 F13930 F13939 F1394 F13980 F13981 F13982 F13988 F1399 F14120 F14121 F14122 F14129 F1414 F14180 F14181 F14182 F14188 F1419 F1420 F1421 F14220 F14221 F14222 F14229 F1423 F1424 F14280 F14281 F14282 F14288 F1429 F14920 F14921 F14922 F14929 F1494 F14980 F14981 F14982 F14988 F1499 F15120 F15121 F15122 F15129 F1514 F15180 F15181 F15182 F15188 F1519 F1520 F1521 F15220 F15221 F15222 F15229 F1523 F1524 F15280 F15281 F15282 F15288 F1529 F15920 F15921 F15922 F15929 F1593 F1594 F15980 F15981 F15982 F15988 F1599 F16120 F16121 F16122 F16129 F1614 F16180 F16183 F16188 F1619 F1620 F1621 F16220 F16221 F16229 F1624 F16280 F16283 F16288 F1629 F16920 F16921 F16929 F1694 F16980 F16983 F16988 F1699 F18120 F18121 F18129 F1814 F18180 F18188 F1819 F1820 F1821 F18220 F18221 F18229 F1824 F18280 F18288 F1829 F18920 F18921 F18929 F1894 F18980 F18988 F1899 F19121 F19122 F19129 F1914 F19180 F19181 F19182 F19188 F1919 F1920 F1921 F19220 F19221 F19222 F19229 F19230 F19239 F1924 F19280 F19281 F19282 F19288 F1929 F19920 F19921 F19922 F19929 F19930 F19939 F1994 F19980 F19981 F19982 F19988 F1999 |10hcc55:Drug/Alcohol Dependence
F10150 F10151 F10159 F10231 F10232 F10250 F10251 F10259 F1026 F1027 F10950 F10951 F10959 F1096 F1097 F11150 F11151 F11159 F11250 F11251 F11259 F11950 F11951 F11959 F12150 F12151 F12159 F12250 F12251 F12259 F12950 F12951 F12959 F13150 F13151 F13159 F13231 F13232 F13250 F13251 F13259 F1326 F1327 F13931 F13932 F13950 F13951 F13959 F1396 F1397 F14150 F14151 F14159 F14250 F14251 F14259 F14950 F14951 F14959 F15150 F15151 F15159 F15250 F15251 F15259 F15950 F15951 F15959 F16150 F16151 F16159 F16250 F16251 F16259 F16950 F16951 F16959 F18150 F18151 F18159 F1817 F18250 F18251 F18259 F1827 F18950 F18951 F18959 F1897 F19150 F19151 F19159 F1916 F1917 F19231 F19232 F19250 F19251 F19259 F1926 F1927 F19931 F19932 F19950 F19951 F19959 F1996 F1997 |10hcc54:Drug/Alcohol Psychosis
F200 F201 F202 F203 F205 F2081 F2089 F209 F250 F251 F258 F259 |10hcc57:Schizophrenia
F22 F24 F3010 F3011 F3012 F3013 F302 F303 F304 F308 F309 F310 F3110 F3111 F3112 F3113 F312 F3130 F3131 F3132 F314 F315 F3160 F3161 F3162 F3163 F3164 F3170 F3171 F3172 F3173 F3174 F3175 F3176 F3177 F3178 F3181 F3189 F319 F320 F321 F322 F323 F324 F325 F330 F331 F332 F333 F3340 F3341 F3342 F338 F339 F348 F349 F39 T1491 T360X2A T360X2S T361X2A T361X2S T362X2A T362X2S T363X2A T363X2S T364X2A T364X2S T365X2A T365X2S T366X2A T366X2S T367X2A T367X2S T368X2A T368X2S T3692XA T3692XS T370X2A T370X2S T371X2A T371X2S T372X2A T372X2S T373X2A T373X2S T374X2A T374X2S T375X2A T375X2S T378X2A T378X2S T3792XA T3792XS T380X2A T380X2S T381X2A T381X2S T382X2A T382X2S T383X2A T383X2S T384X2A T384X2S T385X2A T385X2S T386X2A T386X2S T387X2A T387X2S T38802A T38802S T38812A T38812S T38892A T38892S T38902A T38902S T38992A T38992S T39012A T39012S T39092A T39092S T391X2A T391X2S T392X2A T392X2S T39312A T39312S T39392A T39392S T394X2A T394X2S T398X2A T398X2S T3992XA T3992XS T400X2A T400X2S T401X2A T401X2S T402X2A T402X2S T403X2A T403X2S T404X2A T404X2S T405X2A T405X2S T40602A T40602S T40692A T40692S T407X2A T407X2S T408X2A T408X2S T40902A T40902S T40992A T40992S T410X2A T410X2S T411X2A T411X2S T41202A T41202S T41292A T41292S T413X2A T413X2S T4142XA T4142XS T415X2A T415X2S T420X2A T420X2S T421X2A T421X2S T422X2A T422X2S T423X2A T423X2S T424X2A T424X2S T425X2A T425X2S T426X2A T426X2S T4272XA T4272XS T428X2A T428X2S T43012A T43012S T43022A T43022S T431X2A T431X2S T43202A T43202S T43212A T43212S T43222A T43222S T43292A T43292S T433X2A T433X2S T434X2A T434X2S T43502A T43502S T43592A T43592S T43602A T43602S T43612A T43612S T43622A T43622S T43632A T43632S T43692A T43692S T438X2A T438X2S T4392XA T4392XS T440X2A T440X2S T441X2A T441X2S T442X2A T442X2S T443X2A T443X2S T444X2A T444X2S T445X2A T445X2S T446X2A T446X2S T447X2A T447X2S T448X2A T448X2S T44902A T44902S T44992A T44992S T450X2A T450X2S T451X2A T451X2S T452X2A T452X2S T453X2A T453X2S T454X2A T454X2S T45512A T45512S T45522A T45522S T45602A T45602S T45612A T45612S T45622A T45622S T45692A T45692S T457X2A T457X2S T458X2A T458X2S T4592XA T4592XS T460X2A T460X2S T461X2A T461X2S T462X2A T462X2S T463X2A T463X2S T464X2A T464X2S T465X2A T465X2S T466X2A T466X2S T467X2A T467X2S T468X2A T468X2S T46902A T46902S T46992A T46992S T470X2A T470X2S T471X2A T471X2S T472X2A T472X2S T473X2A T473X2S T474X2A T474X2S T475X2A T475X2S T476X2A T476X2S T477X2A T477X2S T478X2A T478X2S T4792XA T4792XS T480X2A T480X2S T481X2A T481X2S T48202A T48202S T48292A T48292S T483X2A T483X2S T484X2A T484X2S T485X2A T485X2S T486X2A T486X2S T48902A T48902S T48992A T48992S T490X2A T490X2S T491X2A T491X2S T492X2A T492X2S T493X2A T493X2S T494X2A T494X2S T495X2A T495X2S T496X2A T496X2S T497X2A T497X2S T498X2A T498X2S T4992XA T4992XS T500X2A T500X2S T501X2A T501X2S T502X2A T502X2S T503X2A T503X2S T504X2A T504X2S T505X2A T505X2S T506X2A T506X2S T507X2A T507X2S T508X2A T508X2S T50902A T50902S T50992A T50992S T50A12A T50A12S T50A22A T50A22S T50A92A T50A92S T50B12A T50B12S T50B92A T50B92S T50Z12A T50Z12S T50Z92A T50Z92S T510X2A T510X2S T511X2A T511X2S T512X2A T512X2S T513X2A T513X2S T518X2A T518X2S T5192XA T5192XS T520X2A T520X2S T521X2A T521X2S T522X2A T522X2S T523X2A T523X2S T524X2A T524X2S T528X2A T528X2S T5292XA T5292XS T530X2A T530X2S T531X2A T531X2S T532X2A T532X2S T533X2A T533X2S T534X2A T534X2S T535X2A T535X2S T536X2A T536X2S T537X2A T537X2S T5392XA T5392XS T540X2A T540X2S T541X2A T541X2S T542X2A T542X2S T543X2A T543X2S T5492XA T5492XS T550X2A T550X2S T551X2A T551X2S T560X2A T560X2S T561X2A T561X2S T562X2A T562X2S T563X2A T563X2S T564X2A T564X2S T565X2A T565X2S T566X2A T566X2S T567X2A T567X2S T56812A T56812S T56892A T56892S T5692XA T5692XS T570X2A T570X2S T571X2A T571X2S T572X2A T572X2S T573X2A T573X2S T578X2A T578X2S T5792XA T5792XS T5802XA T5802XS T5812XA T5812XS T582X2A T582X2S T588X2A T588X2S T5892XA T5892XS T590X2A T590X2S T591X2A T591X2S T592X2A T592X2S T593X2A T593X2S T594X2A T594X2S T595X2A T595X2S T596X2A T596X2S T597X2A T597X2S T59812A T59812S T59892A T59892S T5992XA T5992XS T600X2A T600X2S T601X2A T601X2S T602X2A T602X2S T603X2A T603X2S T604X2A T604X2S T608X2A T608X2S T6092XA T6092XS T6102XA T6102XS T6112XA T6112XS T61772A T61772S T61782A T61782S T618X2A T618X2S T6192XA T6192XS T620X2A T620X2S T621X2A T621X2S T622X2A T622X2S T628X2A T628X2S T6292XA T6292XS T63002A T63002S T63012A T63012S T63022A T63022S T63032A T63032S T63042A T63042S T63062A T63062S T63072A T63072S T63082A T63082S T63092A T63092S T63112A T63112S T63122A T63122S T63192A T63192S T632X2A T632X2S T63302A T63302S T63312A T63312S T63322A T63322S T63332A T63332S T63392A T63392S T63412A T63412S T63422A T63422S T63432A T63432S T63442A T63442S T63452A T63452S T63462A T63462S T63482A T63482S T63512A T63512S T63592A T63592S T63612A T63612S T63622A T63622S T63632A T63632S T63692A T63692S T63712A T63712S T63792A T63792S T63812A T63812S T63822A T63822S T63832A T63832S T63892A T63892S T6392XA T6392XS T6402XA T6402XS T6482XA T6482XS T650X2A T650X2S T651X2A T651X2S T65212A T65212S T65222A T65222S T65292A T65292S T653X2A T653X2S T654X2A T654X2S T655X2A T655X2S T656X2A T656X2S T65812A T65812S T65822A T65822S T65832A T65832S T65892A T65892S T6592XA T6592XS T71112A T71112S T71122A T71122S T71132A T71132S T71152A T71152S T71162A T71162S T71192A T71192S T71222A T71222S T71232A T71232S X710XXA X710XXD X710XXS X711XXA X711XXD X711XXS X712XXA X712XXD X712XXS X713XXA X713XXD X713XXS X718XXA X718XXD X718XXS X719XXA X719XXD X719XXS X72XXXA X72XXXD X72XXXS X730XXA X730XXD X730XXS X731XXA X731XXD X731XXS X732XXA X732XXD X732XXS X738XXA X738XXD X738XXS X739XXA X739XXD X739XXS X7401XA X7401XD X7401XS X7402XA X7402XD X7402XS X7409XA X7409XD X7409XS X748XXA X748XXD X748XXS X749XXA X749XXD X749XXS X75XXXA X75XXXD X75XXXS X76XXXA X76XXXD X76XXXS X770XXA X770XXD X770XXS X771XXA X771XXD X771XXS X772XXA X772XXD X772XXS X773XXA X773XXD X773XXS X778XXA X778XXD X778XXS X779XXA X779XXD X779XXS X780XXA X780XXD X780XXS X781XXA X781XXD X781XXS X782XXA X782XXD X782XXS X788XXA X788XXD X788XXS X789XXA X789XXD X789XXS X79XXXA X79XXXD X79XXXS X80XXXA X80XXXD X80XXXS X810XXA X810XXD X810XXS X811XXA X811XXD X811XXS X818XXA X818XXD X818XXS X820XXA X820XXD X820XXS X821XXA X821XXD X821XXS X822XXA X822XXD X822XXS X828XXA X828XXD X828XXS X830XXA X830XXD X830XXS X831XXA X831XXD X831XXS X832XXA X832XXD X832XXS X838XXA X838XXD X838XXS |10hcc58:Major Depressive, Bipolar, and Paranoid Disorders
F328 F329 F340 F341 |10hccrx134
F4000 F4001 F4002 F4010 F4011 F40210 F40218 F40220 F40228 F40230 F40231 F40232 F40233 F40240 F40241 F40242 F40243 F40248 F40290 F40291 F40298 F408 F409 F410 F411 F442 F444 F445 F446 F447 F4489 F449 F450 F451 F4520 F4521 F4522 F4529 F458 F459 F6810 F6811 F6812 F6813 |10hccrx135
F42 F4310 F4311 F4312 F440 F441 F4481 F481 F5000 F5001 F5002 F502 F603 F605 F630 F631 F632 F633 F6381 F6389 F639 F900 F901 F902 F908 F909 F910 F911 F912 F913 F918 F919 F952 F984 |10hccrx133
F70 F78 F79 Q910 Q911 Q912 Q913 Q914 Q915 Q916 Q917 Q920 Q921 Q922 Q925 Q9261 Q9262 Q927 Q928 Q929 Q930 Q931 Q932 Q933 Q934 Q935 Q937 Q9381 Q9388 Q9389 Q939 Q952 Q953 Q992 |10hccrx148
F71 |10hccrx147
F72 F73 |10hccrx146
F840 F842 F843 F845 F848 F849 |10hccrx145
G10 G20 G2111 G2119 G212 G213 G214 G218 G219 G230 G231 G232 G238 G239 G903 |10hcc78:Parkinson's and Huntington's Diseases
G1220 G1221 G1222 G1229 |10hcc73
G35 G360 G361 G368 G369 G370 G371 G372 G375 G378 G379 |10hcc77:Multiple Sclerosis
G40001 G40009 G40011 G40019 G40101 G40109 G40111 G40119 G40201 G40209 G40211 G40219 G40301 G40309 G40311 G40319 G40401 G40409 G40411 G40419 G40501 G40509 G40801 G40802 G40803 G40804 G40811 G40812 G40813 G40814 G40821 G40822 G40823 G40824 G4089 G40901 G40909 G40911 G40919 G40A01 G40A09 G40A11 G40A19 G40B01 G40B09 G40B11 G40B19 R5600 R5601 R561 R569 |10hcc79:Seizure Disorders and Convulsions
G43001 G43009 G43011 G43019 G43101 G43109 G43111 G43119 G43401 G43409 G43411 G43419 G43501 G43509 G43511 G43519 G43601 G43609 G43611 G43619 G43701 G43709 G43711 G43719 G43801 G43809 G43811 G43819 G43821 G43829 G43831 G43839 G43901 G43909 G43911 G43919 G43A0 G43A1 G43B0 G43B1 G43C0 G43C1 G43D0 G43D1 |10hccrx166
G47411 G47419 G47421 G47429 |10hccrx355
G546 G547 S48011S S48012S S48019S S48021S S48022S S48029S S48111S S48112S S48119S S48121S S48122S S48129S S48911S S48912S S48919S S48921S S48922S S48929S S58011S S58012S S58019S S58021S S58022S S58029S S58111S S58112S S58119S S58121S S58122S S58129S S58911S S58912S S58919S S58921S S58922S S58929S S68011S S68012S S68019S S68021S S68022S S68029S S68110S S68111S S68112S S68113S S68114S S68115S S68116S S68117S S68118S S68119S S68120S S68121S S68122S S68123S S68124S S68125S S68126S S68127S S68128S S68129S S68411S S68412S S68419S S68421S S68422S S68429S S68511S S68512S S68519S S68521S S68522S S68529S S68610S S68611S S68612S S68613S S68614S S68615S S68616S S68617S S68618S S68619S S68620S S68621S S68622S S68623S S68624S S68625S S68626S S68627S S68628S S68629S S68711S S68712S S68719S S68721S S68722S S68729S S78011D S78011S S78012D S78012S S78019D S78019S S78021D S78021S S78022D S78022S S78029D S78029S S78111D S78111S S78112D S78112S S78119D S78119S S78121D S78121S S78122D S78122S S78129D S78129S S78911D S78911S S78912D S78912S S78919D S78919S S78921D S78921S S78922D S78922S S78929D S78929S S88011D S88011S S88012D S88012S S88019D S88019S S88021D S88021S S88022D S88022S S88029D S88029S S88111D S88111S S88112D S88112S S88119D S88119S S88121D S88121S S88122D S88122S S88129D S88129S S88911D S88911S S88912D S88912S S88919D S88919S S88921D S88921S S88922D S88922S S88929D S88929S S98011D S98011S S98012D S98012S S98019D S98019S S98021D S98021S S98022D S98022S S98029D S98029S S98111D S98111S S98112D S98112S S98119D S98119S S98121D S98121S S98122D S98122S S98129D S98129S S98131D S98131S S98132D S98132S S98139D S98139S S98141D S98141S S98142D S98142S S98149D S98149S S98211D S98211S S98212D S98212S S98219D S98219S S98221D S98221S S98222D S98222S S98229D S98229S S98311D S98311S S98312D S98312S S98319D S98319S S98321D S98321S S98322D S98322S S98329D S98329S S98911D S98911S S98912D S98912S S98919D S98919S S98921D S98921S S98922D S98922S S98929D S98929S T8730 T8731 T8732 T8733 T8734 T8740 T8741 T8742 T8743 T8744 T8750 T8751 T8752 T8753 T8754 T8781 T8789 T879 Z44101 Z44102 Z44109 Z44111 Z44112 Z44119 Z44121 Z44122 Z44129 Z89411 Z89412 Z89419 Z89421 Z89422 Z89429 Z89431 Z89432 Z89439 Z89441 Z89442 Z89449 Z89511 Z89512 Z89519 Z89611 Z89612 Z89619 |10hcc189:Amputation Status, Lower Limb/Amputation Complications
G710 G7111 G712 |10hcc76
G800 G801 G802 G803 G804 G808 G809 |10hcc74:Cerebral Palsy
G8100 G8101 G8102 G8103 G8104 G8110 G8111 G8112 G8113 G8114 G8190 G8191 G8192 G8193 G8194 I69051 I69052 I69053 I69054 I69059 I69151 I69152 I69153 I69154 I69159 I69251 I69252 I69253 I69254 I69259 I69351 I69352 I69353 I69354 I69359 I69851 I69852 I69853 I69854 I69859 I69951 I69952 I69953 I69954 I69959 |10hcc103:Hemiplegia/Hemiparesis
G8220 G8221 G8222 S24111A S24111D S24111S S24112A S24112D S24112S S24113A S24113D S24113S S24114A S24114D S24114S S24119A S24119D S24119S |10hcc71:Paraplegia
G8250 G8251 G8252 G8253 G8254 R532 S14111A S14111D S14111S S14112A S14112D S14112S S14113A S14113D S14113S S14114A S14114D S14114S S14115A S14115D S14115S S14116A S14116D S14116S S14117A S14117D S14117S S14118A S14118D S14118S S14119A S14119D S14119S |10hcc70:Quadriplegia
G830 G8310 G8311 G8312 G8313 G8314 G8320 G8321 G8322 G8323 G8324 G8330 G8331 G8332 G8333 G8334 G835 G8381 G8382 G8383 G8384 G8389 G839 I69031 I69032 I69033 I69034 I69039 I69041 I69042 I69043 I69044 I69049 I69061 I69062 I69063 I69064 I69065 I69069 I69131 I69132 I69133 I69134 I69139 I69141 I69142 I69143 I69144 I69149 I69161 I69162 I69163 I69164 I69165 I69169 I69231 I69232 I69233 I69234 I69239 I69241 I69242 I69243 I69244 I69249 I69261 I69262 I69263 I69264 I69265 I69269 I69331 I69332 I69333 I69334 I69339 I69341 I69342 I69343 I69344 I69349 I69361 I69362 I69363 I69364 I69365 I69369 I69831 I69832 I69833 I69834 I69839 I69841 I69842 I69843 I69844 I69849 I69861 I69862 I69863 I69864 I69865 I69869 I69931 I69932 I69933 I69934 I69939 I69941 I69942 I69943 I69944 I69949 I69961 I69962 I69963 I69964 I69965 I69969 |10hcc104:Monoplegia, Other Paralytic Syndromes
G931 G935 G936 R4020 R402110 R402111 R402112 R402113 R402114 R402120 R402121 R402122 R402123 R402124 R402210 R402211 R402212 R402213 R402214 R402220 R402221 R402222 R402223 R402224 R402310 R402311 R402312 R402313 R402314 R402320 R402321 R402322 R402323 R402324 R402340 R402341 R402342 R402343 R402344 R40243 R40244 R403 |10hcc80:Coma, Brain Compression/Anoxic Damage
H3532 |10hcc124:Exudative Macular Degeneration
H4010X0 H4010X1 H4010X2 H4010X3 H4010X4 H4011X0 H4011X1 H4011X2 H4011X3 H4011X4 H401210 H401211 H401212 H401213 H401214 H401220 H401221 H401222 H401223 H401224 H401230 H401231 H401232 H401233 H401234 H401290 H401291 H401292 H401293 H401294 H401310 H401311 H401312 H401313 H401314 H401320 H401321 H401322 H401323 H401324 H401330 H401331 H401332 H401333 H401334 H401390 H401391 H401392 H401393 H401394 H40151 H40152 H40153 H40159 |10hccrx243
I10 I119 I150 I151 I152 I158 I159 I674 N262 |10hccrx187
I120 I1311 |10hccrx262
I120 I1311 I132 N185 N186 |10hcc136:Chronic Kidney Disease, Stage 5
I200 I230 I231 I232 I233 I236 I237 I238 I240 I241 I248 I249 I25110 I25700 I25710 I25720 I25730 I25750 I25760 I25790 |10hcc87:Unstable Angina and Other Acute Ischemic Heart Disease
I201 I208 I209 I25111 I25118 I25119 I25701 I25708 I25709 I25711 I25718 I25719 I25721 I25728 I25729 I25731 I25738 I25739 I25751 I25758 I25759 I25761 I25768 I25769 I25791 I25798 I25799 |10hcc88:Angina Pectoris
I2101 I2102 I2109 I2111 I2119 I2121 I2129 I213 I214 I220 I221 I222 I228 I229 I234 I235 I511 I512 |10hcc86:Acute Myocardial Infarction
I2510 I252 I253 I2541 I2542 I255 I256 I25810 I25811 I25812 I2582 I2583 I2584 I2589 I259 Q245 |10hccrx188
I2601 I2602 I2609 I2690 I2692 I2699 I2782 I670 I7100 I7101 I7102 I7103 I711 I713 I715 I718 I7401 I7409 I7410 I7411 I7419 I742 I743 I744 I745 I748 I749 I75011 I75012 I75013 I75019 I75021 I75022 I75023 I75029 I7581 I7589 I76 I7771 I7772 I7773 I7774 I7779 I83001 I83002 I83003 I83004 I83005 I83008 I83009 I83011 I83012 I83013 I83014 I83015 I83018 I83019 I83021 I83022 I83023 I83024 I83025 I83028 I83029 I83201 I83202 I83203 I83204 I83205 I83208 I83209 I83211 I83212 I83213 I83214 I83215 I83218 I83219 I83221 I83222 I83223 I83224 I83225 I83228 I83229 I87011 I87012 I87013 I87019 I87031 I87032 I87033 I87039 I87311 I87312 I87313 I87319 I87331 I87332 I87333 I87339 K550 N280 |10hcc107:Vascular Disease with Complications
I442 I470 I471 I472 I479 I480 I481 I482 I483 I484 I4891 I4892 I492 I495 |10hcc96:Specified Heart Arrhythmias
I462 I468 I469 I4901 I4902 J80 J810 J951 J952 J953 J95821 J95822 J9600 J9601 J9602 J9610 J9611 J9612 J9620 J9621 J9622 J9690 J9691 J9692 R570 R579 T8111XA |10hcc84:Cardio-Respiratory Failure and Shock
I6000 I6001 I6002 I6010 I6011 I6012 I6020 I6021 I6022 I6030 I6031 I6032 I604 I6050 I6051 I6052 I606 I607 I608 I609 I610 I611 I612 I613 I614 I615 I616 I618 I619 I6200 I6201 I6202 I6203 I621 I629 |10hcc99:Cerebral Hemorrhage
I6300 I63011 I63012 I63019 I6302 I63031 I63032 I63039 I6309 I6310 I63111 I63112 I63119 I6312 I63131 I63132 I63139 I6319 I6320 I63211 I63212 I63219 I6322 I63231 I63232 I63239 I6329 I6330 I63311 I63312 I63319 I63321 I63322 I63329 I63331 I63332 I63339 I63341 I63342 I63349 I6339 I6340 I63411 I63412 I63419 I63421 I63422 I63429 I63431 I63432 I63439 I63441 I63442 I63449 I6349 I6350 I63511 I63512 I63519 I63521 I63522 I63529 I63531 I63532 I63539 I63541 I63542 I63549 I6359 I636 I638 I639 I97810 I97811 I97820 I97821 |10hcc100:Ischemic or Unspecified Stroke
